company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
New York Life Insurance,72,-5,51198.5,277.1,14344,Financials,New York,NY,no,no,no,yes,67,Craig DeSanto,www.newyorklife.com,,-
Caterpillar,73,5,50971,6489,107700,Industrials,Deerfield,IL,no,no,no,yes,78,D. James Umpleby III,www.caterpillar.com,CAT,95735
Cisco Systems,74,-11,49818,10591,79500,Technology,San Jose,CA,no,no,no,yes,63,Charles H. Robbins,www.cisco.com,CSCO,182327
TJX,75,22,48550,3282.8,340000,Retailing,Framingham,MA,no,no,no,yes,97,Ernie L. Herrman,www.tjx.com,TJX,73403
Publix Super Markets,76,-7,48393.9,4412.2,232000,Food & Drug Stores,Lakeland,FL,no,no,no,yes,69,Randall T. Jones Sr.,www.publix.com,,-
ConocoPhillips,77,79,48349,8079,9900,Energy,Houston,TX,no,no,no,yes,156,Ryan M. Lance,www.conocophillips.com,COP,114444
Liberty Mutual Insurance Group,78,-7,48200,3068,45000,Financials,Boston,MA,no,no,no,yes,71,David H. Long,www.libertymutual.com,,
Progressive,79,-5,47702,3350.9,49077,Financials,Mayfield Village,OH,no,no,yes,yes,74,Susan Patricia Griffith,www.progressive.com,PGR,65485
Nationwide,80,-4,47376,1617.2,24134,Financials,Columbus,OH,no,no,no,yes,76,Kirt A. Walker,www.nationwide.com,,
Tyson Foods,81,-8,47049,3047,137000,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes,73,Donnie D. King,www.tysonfoods.com,TSN,30189
Bristol-Myers Squibb,82,-7,46385,6994,32200,Health Care,New York,NY,no,no,no,yes,75,Giovanni Caforio,www.bms.com,BMY,155720
Nike,83,2,44538,5727,73300,Apparel,Beaverton,OR,no,no,no,yes,85,John J. Donahoe II,www.nike.com,NKE,171840
Deere,84,4,44024,5963,75550,Industrials,Moline,IL,no,no,no,yes,88,John C. May,www.deere.com,DE,95233
American Express,85,-2,43663,8060,64000,Financials,New York,NY,no,no,no,yes,83,Stephen J. Squeri,www.americanexpress.com,AXP,111287
Abbott Laboratories,86,3,43075,7071,113000,Health Care,Abbott Park,IL,no,no,no,yes,89,Robert B. Ford,www.abbott.com,ABT,192481
StoneX Group,87,-29,42534.2,116.3,3242,Financials,New York,NY,no,no,no,yes,58,Sean M. O&#039;Connor,www.stonex.com,SNEX,1699
Plains GP Holdings,88,39,42078,60,4100,Energy,Houston,TX,no,no,no,yes,127,Wilfred C.W. Chiang,www.plains.com,PAGP,2131
Enterprise Products Partners,89,16,40806.9,4637.7,6911,Energy,Houston,TX,no,no,no,yes,105,A. James Teague/W. Randall Fowler,www.enterpriseproducts.com,EPD,55122
TIAA,90,-11,40526.4,4060.7,15065,Financials,New York,NY,no,no,yes,yes,79,Thasunda Brown Duckett,www.tiaa.org,,-
Oracle,91,-11,40479,13746,132000,Technology,Austin,TX,no,no,yes,yes,80,Safra A. Catz,www.oracle.com,ORCL,192514
Thermo Fisher Scientific,92,3,39211,7725,129000,Technology,Waltham,MA,no,no,no,yes,95,Marc Casper,https://www.thermofisher.com,TMO,202645
Coca-Cola,93,0,38655,9771,79000,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes,93,James R. Quincey,www.coca-colacompany.com,KO,271069
General Dynamics,94,-10,38469,3257,103100,Aerospace & Defense,Reston,VA,no,no,yes,yes,84,Phebe N. Novakovic,www.gd.com,GD,59618
CHS,95,8,38448,554,9941,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes,103,Jay D. Debertin,www.chsinc.com,,
USAA,96,-9,37469.6,3300,37335,Financials,San Antonio,TX,no,no,no,yes,87,Wayne Peacock,www.usaa.com,,-
Northwestern Mutual,97,-7,36751.2,977.8,7585,Financials,Milwaukee,WI,no,no,no,yes,90,John E. Schlifske,www.northwesternmutual.com,,-
Nucor,98,51,36483.9,6827.5,28800,Materials,Charlotte,NC,no,no,no,yes,149,Leon J. Topalian,www.nucor.com,NUE,31183
Exelon,99,-7,36347,1706,31518,Energy,Chicago,IL,no,no,no,yes,92,Christopher M. Crane,www.exeloncorp.com,EXC,42832
Massachusetts Mutual Life Insurance,100,23,35899.5,319.3,10052,Financials,Springfield,MA,no,no,no,yes,123,Roger W. Crandall,www.massmutual.com,,-
Northrop Grumman,101,-15,35667,7005,88000,Aerospace & Defense,Falls Church,VA,no,no,yes,yes,86,Kathy J. Warden,www.northropgrumman.com,NOC,71099
3M,102,-6,35355,5921,95000,Chemicals,St. Paul,MN,no,no,no,yes,96,Michael F. Roman,www.3m.com,MMM,75190
Travelers,103,-5,34816,3662,30492,Financials,New York,NY,no,no,no,yes,98,Alan D. Schnitzer,www.travelers.com,TRV,37998
Arrow Electronics,104,-2,34477,1108.2,20700,Wholesalers,Centennial,CO,no,no,no,yes,102,Sean J. Kerins,www.arrow.com,ARW,7851
Honeywell International,105,-11,34392,5542,99000,Industrials,Charlotte,NC,no,no,no,yes,94,Darius E. Adamczyk,www.honeywell.com,HON,120646
Dollar General,106,-15,34220.4,2399.2,163000,Retailing,Goodlettsville,TN,no,no,no,yes,91,Jeffery C. Owen,www.dollargeneral.com,DG,55694
Qualcomm,107,17,33566,9043,45000,Technology,San Diego,CA,no,no,no,yes,124,Cristiano Amon,https://www.qualcomm.com,QCOM,126877
Capital One Financial,108,-9,32033,12390,50767,Financials,McLean,VA,no,yes,no,yes,99,Richard D. Fairbank,www.capitalone.com,COF,44423
TD Synnex,109,8,31614.2,395.1,27000,Wholesalers,Fremont,CA,no,no,no,yes,117,Richard T. Hume,www.tdsynnex.com,SNX,9174
Philip Morris International,110,-9,31405,9109,69600,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes,101,Jacek Olczak,www.pmi.com,PM,141727
World Fuel Services,111,36,31337,73.7,4414,Energy,Miami,FL,no,no,no,yes,147,Michael J. Kasbar,www.wfscorp.com,INT,1427
Performance Food Group,112,2,30398.9,40.7,22885,Wholesalers,Richmond,VA,no,no,no,yes,114,George L. Holm,www.pfgc.com,PFGC,7818
Delta Air Lines,113,65,29899,280,83000,Transportation,Atlanta,GA,no,no,no,yes,178,Edward H. Bastian,www.delta.com,DAL,20903
American Airlines Group,114,60,29882,-1993,123400,Transportation,Fort Worth,TX,no,no,no,no,174,Robert D. Isom,www.aa.com,AAL,9847
Netflix,115,0,29697.8,5116.2,11300,Media,Los Gatos,CA,no,yes,no,yes,115,Ted Sarandos/Reed Hastings,www.netflix.com,NFLX,89579
Paramount Global,116,-7,29579,4543,25115,Media,New York,NY,no,no,no,yes,109,Robert M. Bakish,www.paramount.com,PARA,16383
US Foods Holding,117,11,29487,164,28000,Wholesalers,Rosemont,IL,no,no,no,yes,128,Andrew Iacobucci,www.usfoods.com,USFD,7335
Danaher,118,12,29453,6433,79000,Health Care,Washington,DC,no,no,no,yes,130,Rainer Blair,https://www.danaher.com,DHR,189085
Jabil,119,-15,29285,696,238000,Technology,St. Petersburg,FL,no,no,no,yes,104,Mark T. Mondello,www.jabil.com,JBL,7554
Starbucks,120,5,29060.6,4199.3,383000,"Hotels, Restaurants & Leisure",Seattle,WA,no,yes,no,yes,125,Howard D. Schultz,www.starbucks.com,SBUX,94677
Mondelez International,121,-13,28720,4300,79000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,108,Dirk Van de Put,www.mondelezinternational.com,MDLZ,85001
Eli Lilly,122,-4,28318.4,5581.7,35238,Health Care,Indianapolis,IN,no,no,no,yes,118,David A. Ricks,https://www.lilly.com,LLY,272723.6
Hewlett Packard Enterprise,123,-17,27784,3427,60400,Technology,Houston,TX,no,no,no,yes,106,Antonio F. Neri,https://www.hpe.com,HPE,21725.3
D.R. Horton,124,24,27774.2,4175.8,11788,Engineering & Construction,Arlington,TX,no,no,no,yes,148,David Auld,https://www.drhorton.com,DHI,24313
Molina Healthcare,125,30,27771,659,14000,Health Care,Long Beach,CA,no,no,no,yes,155,Joseph M. Zubretsky,https://www.molinahealthcare.com,MOH,19572.9
CBRE Group,126,-4,27746,1836.6,105000,Financials,Dallas,TX,no,no,no,yes,122,Robert E. Sulentic,https://www.cbre.com,CBRE,30414.2
Micron Technology,127,8,27705,5861,43000,Technology,Boise,ID,no,no,no,yes,135,Sanjay Mehrotra,https://www.micron.com,MU,86977.2
Broadcom,128,-7,27450,6736,20000,Technology,San Jose,CA,no,no,no,yes,121,Hock E. Tan,https://www.broadcom.com,AVGO,257086.5
Gilead Sciences,129,-13,27305,6225,14400,Health Care,Foster City,CA,no,no,no,yes,116,Daniel P. O&#039;Day,https://www.gilead.com,GILD,74656.5
PBF Energy,130,73,27253.4,231,3418,Energy,Parsippany,NJ,no,no,no,yes,203,Thomas J. Nimbley,https://www.pbfenergy.com,PBF,2932.6
Lennar,131,-2,27130.7,4430.1,10753,Engineering & Construction,Miami,FL,no,no,no,yes,129,Jonathan M. Jaffe/Richard Beckwitt,https://www.lennar.com,LEN,23413
United Natural Foods,132,-25,26992,149,28300,Wholesalers,Providence,RI,no,no,no,yes,107,Sandy Douglas,https://www.unfi.com,UNFI,2409.3
NRG Energy,133,200,26989,2187,6635,Energy,Houston,TX,no,no,no,yes,333,Mauricio Gutierrez,https://www.nrg.com,NRG,9855
Nvidia,134,50,26914,9752,22473,Technology,Santa Clara,CA,no,yes,no,yes,184,Jensen Huang,https://www.nvidia.com,NVDA,296011
Occidental Petroleum,135,48,26772,2322,11678,Energy,Houston,TX,no,no,yes,yes,183,Vicki A. Hollub,https://www.oxy.com,OXY,53160.2
Salesforce,136,1,26492,1444,73541,Technology,San Francisco,CA,no,yes,no,yes,137,Marc R. Benioff/Bret Taylor,https://www.salesforce.com,CRM,210196.8
Dollar Tree,137,-26,26321.2,1327.9,136226,Retailing,Chesapeake,VA,no,no,no,yes,111,Michael A. Witynski,https://www.dollartree.com,DLTR,36051.4
KKR,138,178,26141.3,4666.5,3238,Financials,New York,NY,no,no,no,yes,316,Joseph Y. Bae/Scott C. Nuttall,https://www.kkr.com,KKR,51542.9
Kraft Heinz,139,-29,26042,1012,36000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,110,Miguel Patricio,https://www.kraftheinzcompany.com,KHC,48248.6
Amgen,140,-28,25979,5893,24200,Health Care,Thousand Oaks,CA,no,no,no,yes,112,Robert A. Bradway,https://www.amgen.com,AMGN,134700.8
AutoNation,141,4,25844,1373,22200,Retailing,Fort Lauderdale,FL,no,no,no,yes,145,Michael M. Manley,https://www.autonation.com,AN,6111.4
Penske Automotive Group,142,1,25554.7,1187.8,24797,Retailing,Bloomfield Hills,MI,no,no,no,yes,143,Roger S. Penske,https://www.penskeautomotive.com,PAG,7196.7
PayPal,143,-9,25371,4169,30900,Business Services,San Jose,CA,no,no,no,yes,134,Daniel Schulman,https://www.paypal.com,PYPL,99538
Macy's,144,20,25292,1430,88857,Retailing,New York,NY,no,no,no,yes,164,Jeffrey Gennette,https://www.macysinc.com,M,7123.2
Duke Energy,145,-19,24677,3908,27605,Energy,Charlotte,NC,no,no,yes,yes,126,Lynn J. Good,https://www.duke-energy.com,DUK,85967
United Airlines Holdings,146,54,24634,-1964,84100,Transportation,Chicago,IL,no,no,no,no,200,J. Scott Kirby,https://www.united.com,UAL,15049.7
Visa,147,-14,24105,12311,21500,Business Services,San Francisco,CA,no,no,no,yes,133,Alfred F. Kelly Jr.,https://www.visa.com,V,480022.5
Rite Aid,148,-16,24043.4,-90.9,50000,Food & Drug Stores,Camp Hill,PA,no,no,yes,no,132,Heyward Donigan,https://www.riteaid.com,RAD,488.1
Cummins,149,1,24021,2131,59900,Industrials,Columbus,IN,no,no,yes,yes,150,Jennifer Rumsey,https://www.cummins.com,CMI,29140.9
U.S. Bancorp,150,-37,23714,7963,68796,Financials,Minneapolis,MN,no,no,no,yes,113,Andrew J. Cecere,https://www.usbank.com,USB,78929.8
Paccar,151,8,23522.3,1852.1,28500,Motor Vehicles & Parts,Bellevue,WA,no,no,no,yes,159,R. Preston Feight,https://www.paccar.com,PCAR,29101
McDonald's,152,5,23222.9,7545.2,200000,"Hotels, Restaurants & Leisure",Chicago,IL,no,no,no,yes,157,Christopher J. Kempczinski,https://www.investor.mcdonalds.com,MCD,183873.6
Southern,153,-7,23113,2393,27164,Energy,Atlanta,GA,no,no,no,yes,146,Thomas A. Fanning,https://www.southerncompany.com,SO,76877
C.H. Robinson Worldwide,154,37,23102.1,844.2,16877,Transportation,Eden Prairie,MN,no,no,no,yes,191,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,CHRW,13855.8
Truist Financial,155,-36,23064,6440,51462,Financials,Charlotte,NC,no,no,no,yes,119,William H. Rogers Jr.,https://www.truist.com,TFC,75353.9
Applied Materials,156,20,23063,5888,27000,Technology,Santa Clara,CA,no,no,no,yes,176,Gary E. Dickerson,https://www.appliedmaterials.com,AMAT,116431.4
Freeport-McMoRan,157,58,22845,4306,24700,Energy,Phoenix,AZ,no,no,no,yes,215,Richard C. Adkerson,https://www.fcx.com,FCX,72360.8
Lithia Motors,158,73,22831.7,1060,21150,Retailing,Medford,OR,no,no,no,yes,231,Bryan DeBoer,https://www.lithiainvestorrelations.com,LAD,5678
Blackstone,159,295,22577.1,5857.4,3795,Financials,New York,NY,no,yes,no,yes,454,Stephen A. Schwarzman,https://www.blackstone.com,BX,88907.2
Hartford Financial Services Group,160,-18,22390,2365,18100,Financials,Hartford,CT,no,no,no,yes,142,Christopher J. Swift,https://www.thehartford.com,HIG,23815.6
Aflac,161,-30,22106,4325,12447,Financials,Columbus,GA,no,no,no,yes,131,Daniel P. Amos,https://www.aflac.com,AFL,41812.8
Whirlpool,162,-8,21985,1783,69000,Industrials,Benton Harbor,MI,no,no,no,yes,154,Marc R. Bitzer,https://www.whirlpoolcorp.com,WHR,10101.2
Union Pacific,163,-10,21804,6523,32124,Transportation,Omaha,NE,no,no,no,yes,153,Lance M. Fritz,https://www.up.com,UNP,171681.6
International Paper,164,-23,21780,1752,38200,Materials,Memphis,TN,no,no,no,yes,141,Mark S. Sutton,https://www.internationalpaper.com,IP,17301.1
Altria Group,165,-27,21111,2475,6000,"Food, Beverages & Tobacco",Richmond,VA,no,no,no,yes,138,William F. Gifford Jr.,https://www.altria.com,MO,94951.7
CDW,166,-5,20820.8,988.6,13900,Technology,Lincolnshire,IL,no,no,yes,yes,161,Christine A. Leahy,https://www.cdw.com,CDW,24140.2
ManpowerGroup,167,-2,20724.4,382.4,30000,Business Services,Milwaukee,WI,no,no,no,yes,165,Jonas Prising,https://www.manpowergroup.com,MAN,5025.6
PG&E,168,-8,20642,-102,26000,Energy,San Francisco,CA,no,no,yes,no,160,Patricia K. Poppe,https://www.pgecorp.com,PCG,29433.7
Carrier Global,169,2,20613,1664,58000,Industrials,Palm Beach Gardens,FL,no,no,no,yes,171,David L. Gitlin,https://www.corporate.carrier.com,CARR,39127.4
Baker Hughes,170,-30,20502,-219,54000,Energy,Houston,TX,no,no,no,no,140,Lorenzo Simonelli,https://www.bakerhughes.com,BKR,37410.2
Cleveland-Cliffs,171,0,20444,2988,26000,Materials,Cleveland,OH,yes,no,no,yes,,C. Lourenco Goncalves,https://www.clevelandcliffs.com,CLF,16891.2
United States Steel,172,138,20275,4174,24540,Materials,Pittsburgh,PA,no,no,no,yes,310,David B. Burritt,https://www.ussteel.com,X,9832.3
Becton Dickinson,173,4,20248,2092,75000,Health Care,Franklin Lakes,NJ,no,no,no,yes,177,Thomas E. Polen,https://www.bd.com,BDX,75749.1
CarMax,174,-38,20092.1,746.9,26889,Retailing,Richmond,VA,no,no,no,yes,136,William D. Nash,www.carmax.com,KMX,15305
Sherwin-Williams,175,-13,19944.6,1864.4,61626,Chemicals,Cleveland,OH,no,no,no,yes,162,John G. Morikis,https://www.sherwin-williams.com,SHW,65037.9
Builders FirstSource,176,174,19893.9,1725.4,28000,Materials,Dallas,TX,no,no,no,yes,350,David Flitman,https://www.bldr.com,BLDR,9205
Marsh & McLennan,177,-2,19820,3143,83000,Financials,New York,NY,no,no,no,yes,175,Daniel S. Glaser,https://www.marshmclennan.com,MMC,85681.3
PNC Financial Services Group,178,-58,19698,5674,58547,Financials,Pittsburgh,PA,no,no,no,yes,120,William S. Demchak,https://www.pnc.com,PNC,77203.4
Lumen Technologies,179,-40,19687,2033,36000,Telecommunications,Monroe,LA,no,no,no,yes,139,Jeffrey K. Storey,https://www.lumen.com,LUMN,11533.4
Avnet,180,-12,19534.7,193.1,14500,Wholesalers,Phoenix,AZ,no,no,no,yes,168,Philip R. Gallagher,https://www.avnet.com,AVT,4016.9
Tenet Healthcare,181,-14,19485,914,88968,Health Care,Dallas,TX,no,no,no,yes,167,Saumya Sutaria,https://www.tenethealth.com,THC,9387.6
Kimberly-Clark,182,-24,19440,1814,45000,Household Products,Irving,TX,no,no,no,yes,158,Michael D. Hsu,https://www.kimberly-clark.com,KMB,41496.1
Kohl's,183,12,19433,938,67000,Retailing,Menomonee Falls,WI,no,no,yes,yes,195,Michelle D. Gass,https://www.kohls.com,KSS,7774.6
BlackRock,184,8,19374,5901,18400,Financials,New York,NY,no,no,no,yes,192,Laurence D. Fink,https://www.blackrock.com,BLK,116186.2
Jones Lang LaSalle,185,1,19367,961.6,98200,Financials,Chicago,IL,no,no,no,yes,186,Christian Ulbrich,https://www.jll.com,JLL,11945.5
Lear,186,-7,19263.1,373.9,160100,Motor Vehicles & Parts,Southfield,MI,no,no,no,yes,179,Raymond E. Scott,https://www.lear.com,LEA,8513.1
Lincoln National,187,-15,19230,1405,10848,Financials,Radnor,PA,no,no,yes,yes,172,Ellen G. Cooper,https://www.lfg.com,LNC,11271.6
Charles Schwab,188,63,18996,5855,33400,Financials,Westlake,TX,no,no,no,yes,251,Walter W. Bettinger II,https://www.aboutschwab.com,SCHW,159675.9
Ross Stores,189,53,18916.2,1722.6,100000,Retailing,Dublin,CA,no,no,yes,yes,242,Barbara Rentler,https://www.rossstores.com,ROST,31741.7
Mastercard,190,11,18884,8687,24000,Business Services,Purchase,NY,no,no,no,yes,201,Michael Miebach,https://www.mastercard.com,MA,349330.5
Genuine Parts,191,-18,18870.5,898.8,52000,Wholesalers,Atlanta,GA,no,no,no,yes,173,Paul D. Donahue,https://www.genpt.com,GPC,17888.1
WestRock,192,-22,18746.1,838.3,49900,Materials,Atlanta,GA,no,no,no,yes,170,David B. Sewell,https://www.westrock.com,WRK,12379
EOG Resources,193,92,18642,4664,2800,Energy,Houston,TX,no,no,no,yes,285,Ezra Y. Yacob,https://www.eogresources.com,EOG,69796
Cognizant Technology Solutions,194,-9,18507,2137,330600,Technology,Teaneck,NJ,no,no,no,yes,185,Brian Humphries,https://www.cognizant.com,CTSH,47035
Moderna,195,0,18471,12202,2700,Health Care,Cambridge,MA,yes,no,no,yes,,Stephane Bancel,https://www.modernatx.com,MRNA,69424.3
Steel Dynamics,196,123,18408.9,3214.1,10640,Materials,Fort Wayne,IN,no,yes,no,yes,319,Mark D. Millett,https://www.steeldynamics.com,STLD,15811.5
HF Sinclair,197,82,18389.1,558.3,4208,Energy,Dallas,TX,no,no,no,yes,279,Michael C. Jennings,https://www.hfsinclair.com,DINO,8895.8
Texas Instruments,198,12,18344,7769,31000,Technology,Dallas,TX,no,no,no,yes,210,Richard K. Templeton,https://www.ti.com,TXN,169329.6
Emerson Electric,199,-18,18236,2303,86700,Industrials,St. Louis,MO,no,no,no,yes,181,S. L. Karsanbhai,https://www.emerson.com,EMR,58241.7
WESCO International,200,45,18217.5,465.4,18000,Wholesalers,Pittsburgh,PA,no,no,no,yes,245,John J. Engel,https://www.wesco.com,WCC,6598.5
General Mills,201,-32,18127,2339.8,35000,"Food, Beverages & Tobacco",Minneapolis,MN,no,no,no,yes,169,Jeffrey L. Harmening,https://www.generalmills.com,GIS,40781.8
Tenneco,202,-3,18035,35,71000,Motor Vehicles & Parts,Lake Forest,IL,no,no,no,yes,199,Brian J. Kesseler,https://www.tenneco.com,TEN,1523
Waste Management,203,-1,17931,1816,48500,Business Services,Houston,TX,no,no,no,yes,202,James C. Fish Jr.,https://www.wm.com,WM,65802.8
Viatris,204,50,17886.3,-1269.1,37000,Health Care,Canonsburg,PA,no,no,no,no,254,Michael Goettler,https://www.viatris.com,VTRS,13160.2
DISH Network,205,-8,17881.1,2410.6,14500,Telecommunications,Englewood,CO,no,no,no,yes,197,W. Erik Carlson,https://www.dish.com,DISH,16743.1
L3Harris Technologies,206,-43,17814,1846,47000,Aerospace & Defense,Melbourne,FL,no,no,no,yes,163,Christopher E. Kubasik,https://www.l3harris.com,LHX,47969.6
DXC Technology,207,-55,17729,-149,134000,Technology,Tysons,VA,no,no,no,no,152,Michael J. Salvino,https://www.dxc.technology,DXC,7977.3
Block,208,115,17661.2,166.3,8521,Business Services,San Francisco,CA,no,yes,no,yes,323,Jack Dorsey,https://www.block.xyz,SQ,78655.9
Goodyear Tire & Rubber,209,37,17478,764,72000,Motor Vehicles & Parts,Akron,OH,no,no,no,yes,246,Richard J. Kramer,https://www.goodyear.com,GT,4029.3
Uber Technologies,210,71,17455,-496,29300,Technology,San Francisco,CA,no,no,no,no,281,Dara Khosrowshahi,https://www.uber.com,UBER,69753
Colgate-Palmolive,211,-23,17421,2166,33800,Household Products,New York,NY,no,no,no,yes,188,Noel R. Wallace,https://www.colgatepalmolive.com,CL,63742.2
Stanley Black & Decker,212,-3,17252.7,1689.2,71300,Household Products,New Britain,CT,no,no,no,yes,209,Donald Allan Jr.,https://www.stanleyblackanddecker.com,SWK,22843.3
DuPont,213,-69,17160,6467,28000,Chemicals,Wilmington,DE,no,no,no,yes,144,Edward D. Breen,https://www.dupont.com,DD,37739.7
Stryker,214,-2,17108,1994,46000,Health Care,Kalamazoo,MI,no,no,no,yes,212,Kevin A. Lobo,https://www.stryker.com,SYK,100978.1
NextEra Energy,215,-49,17069,3573,15000,Energy,Juno Beach,FL,no,no,no,yes,166,John W. Ketchum,https://www.nexteraenergy.com,NEE,166264.1
Targa Resources,216,148,16949.8,71.2,2430,Energy,Houston,TX,no,no,no,yes,364,Matthew J. Meloy,https://www.targaresources.com,TRGP,17243.8
Western Digital,217,-35,16922,821,65600,Technology,San Jose,CA,no,no,no,yes,182,David V. Goeckeler,https://www.westerndigital.com,WDC,15536.4
PPG Industries,218,2,16802,1439,49300,Chemicals,Pittsburgh,PA,no,no,no,yes,220,Michael H. McGarry,https://www.ppg.com,PPG,30951.9
American Electric Power,219,-15,16792,2488.1,16688,Energy,Columbus,OH,no,no,no,yes,204,Nicholas K. Akins,https://www.aep.com,AEP,50338.6
Gap,220,1,16670,256,97000,Retailing,San Francisco,CA,no,no,no,yes,221,Bobby L. Martin,https://www.gapinc.com,GPS,5206.6
BJ&#8217;s Wholesale Club,221,-23,16667.3,426.7,34000,Retailing,Westborough,MA,no,no,no,yes,198,Robert W. Eddy,https://www.bjs.com,BJ,9146.9
Reinsurance Group of America,222,-15,16658,617,3500,Financials,Chesterfield,MO,no,no,yes,yes,207,Anna Manning,https://www.rgare.com,RGA,7354.6
Kinder Morgan,223,39,16610,1784,10529,Energy,Houston,TX,no,no,no,yes,262,Steven J. Kean,https://www.kindermorgan.com,KMI,42878.1
Oneok,224,127,16540.3,1499.7,2847,Energy,Tulsa,OK,no,no,no,yes,351,Pierce H. Norton II,https://www.oneok.com,OKE,31516
Expeditors Intl. of Washington,225,74,16523.5,1415.5,19070,Transportation,Seattle,WA,no,no,no,yes,299,Jeffrey Musser,https://www.expeditors.com,EXPD,15051
Advanced Micro Devices,226,83,16434,3162,15500,Technology,Santa Clara,CA,no,no,yes,yes,309,Lisa Su,https://www.amd.com,AMD,93566
Fiserv,227,-22,16226,1334,44000,Business Services,Brookfield,WI,no,no,no,yes,205,Frank J. Bisignano,https://www.fiserv.com,FISV,66132.8
Estée Lauder,228,-15,16215,2870,53320,Household Products,New York,NY,no,no,no,yes,213,Fabrizio Freda,https://www.elcompanies.com,EL,97672.1
Bank of New York Mellon,229,-49,16158,3759,49100,Financials,New York,NY,no,no,no,yes,180,Robin Vince,https://www.bnymellon.com,BK,40056.7
Laboratory Corp. of America,230,-12,16120.9,2377.3,71725,Health Care,Burlington,NC,no,no,no,yes,218,Adam H. Schechter,https://www.labcorp.com,LH,24625.8
Regeneron Pharmaceuticals,231,123,16071.7,8075.3,10368,Health Care,Tarrytown,NY,no,yes,no,yes,354,Leonard Schleifer,https://www.regeneron.com,REGN,80226
Land O'Lakes,232,-13,15916.4,287.4,9000,"Food, Beverages & Tobacco",Arden Hills,MN,no,no,yes,yes,219,Beth E. Ford,https://www.landolakesinc.com,,
Cheniere Energy,233,95,15864,-2343,1550,Energy,Houston,TX,no,no,no,no,328,Jack A. Fusco,https://www.cheniere.com,LNG,35272.3
Southwest Airlines,234,102,15790,977,55093,Transportation,Dallas,TX,no,no,no,yes,336,Robert E. Jordan,https://www.southwest.com,LUV,27129.3
Adobe,235,-1,15785,4822,25988,Technology,San Jose,CA,no,no,no,yes,234,Shantanu Narayen,https://www.adobe.com,ADBE,215280.5
Synchrony Financial,236,-49,15752,4221,18000,Financials,Stamford,CT,no,no,no,yes,187,Brian D. Doubles,https://www.synchronyfinancial.com,SYF,18145.5
Corteva,237,-23,15655,1759,21000,"Food, Beverages & Tobacco",Indianapolis,IN,no,no,no,yes,214,Charles V. Magro,https://www.corteva.com,CTVA,41774.9
Fidelity National Financial,238,50,15643,2422,28290,Financials,Jacksonville,FL,no,no,no,yes,288,Michael Nolan,https://www.fnf.com,FNF,10569
DTE Energy,239,11,15369,907,10300,Energy,Detroit,MI,no,no,no,yes,250,Gerardo Norcia,https://www.dteenergy.com,DTE,25614.6
Murphy USA,240,82,15318.8,396.9,10430,Retailing,El Dorado,AR,no,no,no,yes,322,R. Andrew Clyde,https://www.murphyusa.com,MUSA,4888.6
Halliburton,241,-30,15295,1457,40000,Energy,Houston,TX,no,no,no,yes,211,Jeffrey A. Miller,https://www.halliburton.com,HAL,34028.9
Automatic Data Processing,242,-34,15005.4,2598.5,56000,Business Services,Roseland,NJ,no,no,no,yes,208,Carlos A. Rodriguez,https://www.adp.com,ADP,95577.1
Edison International,243,-17,14905,759,13003,Energy,Rosemead,CA,no,no,no,yes,226,Pedro J. Pizarro,https://www.edisoninvestor.com,EIX,26693.8
BorgWarner,244,51,14838,537,49300,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,295,Frederic B. Lissalde,https://www.borgwarner.com,BWA,9335
Nordstrom,245,44,14789,178,72000,Retailing,Seattle,WA,no,no,no,yes,289,Erik B. Nordstrom,https://www.nordstrom.com,JWN,4321.3
Loews,246,-7,14657,1578,10340,Financials,New York,NY,no,no,no,yes,239,James S. Tisch,https://www.loews.com,L,15971.3
Guardian Life Ins. Co. of America,247,-20,14647.8,288.8,9150,Financials,New York,NY,no,no,no,yes,227,Andrew J. McMahon,https://www.guardianlife.com,,
Pioneer Natural Resources,248,180,14643,2118,1932,Energy,Irving,TX,no,no,no,yes,428,Scott D. Sheffield,https://www.pxd.com,PXD,60728.3
AutoZone,249,-11,14629.6,2170.3,85050,Retailing,Memphis,TN,no,no,no,yes,238,William C. Rhodes III,https://www.autozone.com,AZO,40582.6
Lam Research,250,54,14626.2,3908.5,14100,Technology,Fremont,CA,no,no,no,yes,304,Timothy M. Archer,https://www.lamresearch.com,LRCX,74996.7
American Family Insurance Group,251,-19,14611.9,734.5,13590,Financials,Madison,WI,no,no,no,yes,232,William Westrate,https://www.amfam.com,,
Illinois Tool Works,252,-12,14455,2694,45000,Industrials,Glenview,IL,no,no,no,yes,240,E. Scott Santi,https://www.itw.com,ITW,65311.9
Parker-Hannifin,253,-30,14347.6,1746.1,54640,Industrials,Cleveland,OH,no,no,no,yes,223,Thomas L. Williams,https://www.parker.com,PH,36456.8
